AREA,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION
230000000,1637308.7,1745,9,M261F,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Sierra Nevada Foothills Section
484000000,1117916,1746,69,-332C,DRY DOMAIN,Temperate Steppe Division,Great Plains Steppe Province,Nebraska Sand Hills Section
2796990.5,7021.52,1747,1827,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
4347498.5,11250.461,1748,1829,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
499000000,1771317.3,1749,8,-262A,HUMID TEMPERATE DOMAIN,Mediterranean Division,California Dry Steppe Province,Great Valley Section
8331224,15216.895,1750,1830,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
12477233,16669.293,1751,1831,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
791000000,356141.84,1752,47,-342E,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert Province,Bear Lake Section
703000000,553675.75,1753,164,M261C,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Northern California Interior Coast Ranges Section
467000000,1407323.6,1754,59,M331I,DRY DOMAIN,Temperate Steppe Regime Mountains,Southern Rocky Mountain Steppe-Open Woodland-Coniferous Forest-Alpine Meadow Province,Northern Parks and Ranges Section
176000000,2264051,1755,108,-251C,HUMID TEMPERATE DOMAIN,Prairie Division,Prairie Parkland (Temperate) Province,Central Dissected Till Plains Section
702000000,1539912.8,1756,117,-222H,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Central Till Plains Beech-Maple Section
330000000,1015884.3,1757,50,-341G,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert and Desert Province,Northeastern Great Basin Section
543000000,2047371.2,1758,122,M221D,HUMID TEMPERATE DOMAIN,Hot Continental Regime Mountains,Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province,Blue Ridge Mountains Section
