AREA,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION
894884992,236636.84,2,17,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
221730608,94848.617,3,171,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
5848493,13632.412,4,172,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
7127738.5,14192.126,5,173,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
17286422,19903.473,6,174,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
120000000,3107817,7,2,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
204322.43,1809.923,8,175,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
195433.56,1657.395,9,176,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
193386.59,1915.265,10,177,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
192222.65,1767.296,11,178,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
14869546,57983.949,12,179,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
8670955,43585.398,13,180,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
2380932,12132.211,14,181,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
645551.81,3905.997,15,182,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
13523011,50757.969,16,183,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
1224362.2,7114.129,17,184,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
482000000,3172369.5,18,1,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
10960255,55645.199,19,185,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
12107537,50668.77,20,186,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
3484947.2,16365.339,21,187,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
2265940.7,9923.333,22,188,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
6380668,20557.703,23,189,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
6038466,24334.57,24,191,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
595698.56,3680.865,25,192,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
956964.31,3965.706,26,193,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
531659.93,3344.026,27,194,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
495581.62,2909.136,28,195,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
858578.31,4075.883,29,196,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
7737846.5,10732.174,30,197,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
1727216.1,6355.7,31,198,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
227000000,387198.78,32,7,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
127078.5,1381.294,33,199,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
19834544,19529.678,34,200,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
140000000,2285895,35,3,M121B,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Mountains Section
1941455.8,8791.274,36,201,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
505000000,2046676,37,7,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
6299684,15633.854,38,202,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
908008.06,4602.81,39,203,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
16407950,31305.818,40,204,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
654000000,656598.62,41,6,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
1531119.2,11170.411,42,205,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
606852.18,2881.21,43,206,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
21287324,54335.77,44,207,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
6382012.5,16915.416,45,210,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
1363902.2,6813.343,46,211,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
1391611.8,5602.267,47,212,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
31692356,59645.992,48,213,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
2884168.5,7493.332,49,214,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
8862745,16972.828,50,215,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
431857.62,3096.963,51,216,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
604405.68,3319.522,52,217,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
6527500,16513.941,53,218,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
18754108,27800.102,54,219,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
21608950,72236,55,220,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
727727.75,3507.284,56,221,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
241000000,416043.87,57,11,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
2899340,9964.838,58,222,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
11024794,12538.852,59,223,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
3716892.7,8575.543,60,224,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
6239065.5,17460.09,61,225,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
50206804,77078.836,62,226,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
476936.5,4647.589,63,227,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
270426.9,2030.387,64,228,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
288387.84,2181.361,65,229,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
276496448,153450.06,66,17,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
236000000,1137508.1,67,6,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
16644792,21522.49,68,231,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
2130862.2,7091.644,69,232,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
7866301,15629.963,70,233,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
1447145.1,4927.863,71,234,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
191987.37,1828.189,72,235,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
149888.46,1775.643,73,236,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
325354272,138219.59,74,11,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
214019.68,1778.018,75,237,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
346009.5,2182.649,76,238,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
294722.87,2226.34,77,239,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
834384.87,4806.498,78,240,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
304939.09,2175.873,79,241,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
415348.21,2654.156,80,242,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
622927.75,3333.257,81,243,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
158882.37,1543.378,82,244,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
33355152,26860.234,83,245,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
565555.06,3242.46,84,246,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
752622,3863.19,85,247,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
663137,3432.218,86,248,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
749614.5,4083.277,87,249,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
1507468,6085.292,88,250,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
3169795.7,7656.79,89,251,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
2129422,6683.666,90,252,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
177182,1708.047,91,253,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
204468.25,1893.889,92,254,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
842602.25,4276.592,93,255,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
3188436.5,10824.119,94,256,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
27529890,34671.391,95,257,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
1312125.6,5194.611,96,258,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
64634552,37710.109,97,259,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
705685.68,3403.93,98,260,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
658091.25,4339.146,99,261,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
306311.56,2293.242,100,263,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
170342.59,1616.863,101,264,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
1861072.1,5908.977,102,265,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
326203.37,2329.734,103,266,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
302646400,187928.81,104,267,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
1961904,6629.421,105,268,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
24066798,25806.303,106,269,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
14032502,18251.52,107,270,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
3303099.7,7869.569,108,271,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
297163.06,2283.709,109,272,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
4977239.5,10819.973,110,273,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
426186.09,2478.548,111,274,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
674232.68,3023.115,112,275,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
586643.06,3072.613,113,276,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
4972256,13467.335,114,277,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
2419026,7363.483,115,278,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
10755669,33527.953,116,279,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
1177775.8,5053.038,117,280,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
276226.06,2154.197,118,281,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section
5818092.5,18407.131,119,282,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
452313.93,2945.373,120,283,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
790863.37,3967.251,121,284,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
5451556,15435.324,122,285,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
1274636.2,4970.292,123,286,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
375257.06,2631.072,124,287,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
222602944,65206.574,125,17,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
824537.06,3527.151,126,288,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
3836071.7,13627.564,127,289,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
914294.25,3880.829,128,290,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
506000000,1579664.7,129,8,M131A,POLAR DOMAIN,Subarctic Regime Mountains,Yukon Intermontane Plateaus Tayga-Meadow Province,Nulato Hills Section
435000000,1001546.5,130,5,-131A,POLAR DOMAIN,Subarctic Division,Yukon Intermontane Plateaus Tayga Province,Upper Kobuk Valley Section
240932.85,2084.193,131,291,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
1200797.5,4380.31,132,292,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
761911.75,3600.87,133,293,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
243569.53,2167.694,134,294,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
3993274.2,10086.831,135,295,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
1529208,4977.76,136,296,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
1811538.2,6169.765,137,297,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
780000000,3843943,138,11,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
8032667,12009.654,139,298,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
279489.4,2154.316,140,299,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
719272.75,3941.661,141,300,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section
1155666.2,4370.537,142,301,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
1160776.2,5279.599,143,302,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
10273259,24721.52,144,303,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
561797.62,2994.023,145,304,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
1769711.6,4914.29,146,305,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
682312.87,3192.155,147,306,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
2248249.7,6859.653,148,307,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
446577.53,2900.47,149,308,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
568044.12,3050.402,150,309,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
3528669.5,8949.604,151,310,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
4245369.5,15422.186,152,311,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section
783906.31,3872.642,153,312,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
595323.37,3013.585,154,313,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
524758.87,4446.804,155,314,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
2919150.7,8868.501,156,315,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
3371176,9425.078,157,316,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
984254.87,4230.995,158,317,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
832045.75,4037.187,159,318,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
12258113,27484.543,160,319,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
8716792,13479.886,161,320,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
1832140.5,5911.548,162,321,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
66652696,31844.227,163,322,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
3631426,12397.748,164,323,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
101000000,3775613.5,165,9,-131B,POLAR DOMAIN,Subarctic Division,Yukon Intermontane Plateaus Tayga Province,Yukon-Koskokwim Bottoms Section
1982019.7,7019.317,166,324,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
479618.18,3287.024,167,325,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
137843472,71721.938,168,326,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
330614.68,2930.417,169,327,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
609125,3427.727,170,328,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
14543659,22864.043,171,329,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
34764436,28823.936,172,330,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
257242.5,2076.692,173,331,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
30635814,32376.52,174,332,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
3112931.7,8530.303,175,333,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
9079304,15467.438,176,334,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
3908319,10204.708,177,335,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
536375520,184377.04,178,17,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
475795.75,3294.205,179,336,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
259022.15,1911.324,180,337,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
401254.4,2420.269,181,338,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
987283,6046.591,182,339,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
4260556,21924.77,183,340,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
894051,4244.131,184,341,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
19210490,28599.945,185,342,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
853243.93,4857.937,186,343,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
414000000,538436.25,187,11,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
4490703,15992.637,188,344,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
1262697.7,4520.111,189,345,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
1219326.2,7217.272,190,346,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
852352.31,4183.854,191,347,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
364693216,169118.34,192,348,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
8008296.5,12164.38,193,349,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
201865.93,1917.632,194,350,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
123241.96,1492.625,195,351,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
748009.5,3765.9,196,352,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
609939.12,3264.337,197,353,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
432701.31,2789.065,198,354,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
3622345.5,16517.195,199,355,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
216000000,298387.9,200,356,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
345275.15,2861.21,201,357,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
33155092,23628.514,202,358,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
837710.68,4648.788,203,359,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
1528138.6,6074.542,204,360,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
719283584,308153.43,205,17,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
190267.68,1699.573,206,361,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
114875080,63807.543,207,362,-125B,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Yukon-Kuskokwim Delta Section
338176.81,2266.204,208,363,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
10551389,47566.254,209,364,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section
1414971.2,5959.567,210,365,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
536273.31,2920.776,211,366,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section
