SAMPLE,OTU,ABUNDANCE
NTP16,4404-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP29,4404-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,3
NTP2,4406-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP22,4406-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP25,4406-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP1,4408-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP2,4408-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP12,4421-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP33,4421-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP8,4421-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP36,4430-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,4434-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,4437-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,4438-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP39,4438-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP39,4448-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP3,4454-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP5,4464-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP7,4468-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP7,4473-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP11,4474-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP14,4474-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP24,4474-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP25,4474-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP32,4474-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP8,4474-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP39,4522-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP8,4522-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP14,4588-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP7,4588-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP18,4620-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,4620-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP27,4620-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP33,4620-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,4620-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,3
NTP5,4620-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP10,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP16,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP18,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP21,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP23,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP24,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP29,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP32,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP39,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP5,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP9,4741-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP21,4743-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP22,4743-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP24,4743-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,4827-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP34,4827-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP33,5036-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP10,5041-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP7,5041-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP25,5527-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,5527-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,5527-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,3
NTP1,5529-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,5529-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP39,5529-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP22,5530-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,5530-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,6
NTP29,5530-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP33,5530-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,5575-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP33,5575-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP18,5657-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,3
NTP2,5678-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP2,5771-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP16,5901-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,5901-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP26,5901-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP3,5901-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP33,5901-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP4,5901-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP7,5901-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP29,5905-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,6027-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP2,6027-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP24,6027-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,6027-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,4
NTP34,6027-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP36,6027-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,6027-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP2,6029-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP26,6029-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,6029-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP36,6029-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,6029-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP5,6029-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,6039-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP32,6039-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,3
NTP7,6039-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP33,6091-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP1,6133-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP23,6140-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP34,6140-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP16,6154-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP12,6315-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP29,6315-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP11,6397-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP14,6402-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP21,6402-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP8,6402-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP25,6411-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,6411-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,6416-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP25,6416-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,6416-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP36,6416-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP29,6432-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP36,6432-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP7,6432-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP38,6437-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP12,6534-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,6534-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP25,6534-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP36,6574-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,6642-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP6,6644-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,6688-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,6690-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,6690-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP39,6690-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP6,6690-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP10,6751-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP12,6751-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP13,6751-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP22,6751-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,6751-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP24,6751-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP28,6751-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,6751-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP6,6751-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP34,6870-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP7,6870-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,7010-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,7056-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP39,7072-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP16,7150-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP16,7199-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP16,7379-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,7379-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP6,7581-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP29,7671-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP10,8391-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP14,8434-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP16,8443-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP18,8448-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP18,8457-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,8464-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP21,8472-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP24,8496-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP25,8500-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP25,8501-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP4,8504-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,8520-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP33,8584-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP33,8587-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP2,8600-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP22,8600-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,8600-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,3
NTP33,8600-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP34,8608-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,8614-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,8614-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP33,8614-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP34,8614-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP26,8618-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP34,8618-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP36,8643-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,8648-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,8665-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,8668-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,8670-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP39,8690-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP3,8711-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP5,8732-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP7,8745-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP7,8748-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP8,8756-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP9,8756-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP9,8762-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP2,9089-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP25,9089-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP27,9089-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,9089-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP10,9295-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP25,9300-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP34,9376-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,9427-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,9656-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,9656-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP34,9656-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP33,10032-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP36,10200-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP8,10200-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP10,10227-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP11,10227-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP5,10227-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,10895-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,10965-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP39,10965-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,11014-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,11014-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP22,11780-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,11847-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP22,11847-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP3,11847-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP12,11864-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP22,11864-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP7,11864-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP18,11939-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP14,11965-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP14,11971-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,11981-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,11982-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP22,11992-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP22,11993-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,12000-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP23,12004-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP26,12018-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP27,12024-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP29,12027-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP34,12056-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP36,12076-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP4,12132-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,2
NTP1,12365-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,12474-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP32,12474-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP1,13602-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP34,13637-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP34,13638-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,14092-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP10,57-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP11,57-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP16,57-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,2
NTP21,57-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP24,57-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP3,57-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,4
NTP4,57-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,5
NTP6,57-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP8,57-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP1,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,2
NTP10,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP12,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP13,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP14,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP16,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP18,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,4
NTP21,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP24,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,2
NTP25,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,2
NTP3,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
NTP34,162-Root; k__Bacteria; p__Acidobacteria; c__iii1-8; o__32-20; f__,1
